37.000000,4
38.000000,3
37.000000,4
37.000000,5
63.000000,24
94.000000,9
110.000000,19
63.000000,24
69.000000,9
69.000000,5
76.000000,7
69.000000,10
234.000000,324
395.000000,35
389.000000,292
234.000000,325
249.000000,256
396.000000,31
319.000000,228
249.000000,257
247.000000,255
373.000000,31
375.000000,228
247.000000,255
21.000000,4
27.000000,3
21.000000,4
21.000000,5
333.000000,437
501.000000,41
497.000000,403
333.000000,436
298.000000,357
422.000000,37
470.000000,327
298.000000,357
123.000000,61
181.000000,15
155.000000,52
123.000000,58
